"ProductID";"PartNumber";"Description"
219;"hqmg-fan";"ck fan 13s 1-row  machine gun salutes"
220;"hqmg06";"ck 2"" 6s machine gun (quick121 br wht salutes-fogette) - 3sec"
221;"hqmg15";"ck 2"" 15s machine gun (quick -302 bright white salutes - fogette) - 6sec"
222;"hqmg7";"ck fan 49s (7x7) quick machine gun salutes) - 10sec"
223;"hqn1";"ck fan 15s 1-row  color mines"
224;"hqnck01";"ck fan 65s glittering crackling mines w/red stars - 25sec"
225;"hqp02";"ck fan 280s 3 times whistle to red stars & ti salutes (20s)"
226;"hqp03";"ck 100s silver whirlpool tail to silver & purple peonies & salutes (30 sec)"
227;"hqp04";"ck 49s silver glittering willow w/silver glitter tail (26 sec)"
228;"hqp05-q";"ck fan 65s brocade waterfall mines w/big silver strobe pistil (16 sec)"
229;"hqp06";"ck 100s silver coconut w/cherry blossom w/silver tail (32 sec)"
230;"ht237-blue";"ck V 50s blue daytime smoke comet w/crackling (15 sec)"
231;"ht237-grn";"ck V 50s green daytime smoke comet w/crackling (15 sec)"
232;"ht237-pur";"ck V 50s purple daytime smoke comet w/crackling (15 sec)"
233;"ht237-wht";"ck V 50s white daytime smoke comet w/crackling (15 sec)"
234;"ht237-yel";"ck V 50s yellow daytime smoke comet w/crackling (15 sec)"
235;"ht246-grn";"cndl 1.5"" 1-shot color smoke tiger tail - green (10 sec)"
236;"ht246-pur";"cndl 1.5"" 1-shot color smoke tiger tail - purple (10 sec)"
237;"ht246-wht";"cndl 1.5"" 1-shot color smoke tiger tail - white (10 sec)"
238;"ht246-yel";"cndl 1.5"" 1-shot color smoke tiger tail - yellow (10 sec)"
239;"htnck01";"ck 49s orange w/white glitter mines to org w/wht gltr (36sec)"
240;"htnck02";"ck 9s fast (all at once), loud double crackling (4 sec)"
241;"htnck04";"ck 36s blue tail to golden belt w/red, green & white glitter-23 sec)"
242;"htnck05";"ck 36s blue tail to golden willow to red (25 sec)"
243;"htnck06";"ck 49s blue tail to golden spider w/blue, crcklng tl to ti flower willow (30s)"
244;"htnck07";"ck 49s red tl to brcd to red; blue tl to brcd to blue; bl tl to aloes (27s)"
245;"hw01";"3"" mine howard ground mine"
246;"hw02";"3"" mine howard prismatic jewel mine"
247;"hw05";"fntn 3"" howard (requires fixturing) revolving gold & silver fntn"
248;"hx25t02";"2.5"" chrys to blue"
